model,modelo,accuracy,recall,precision,f1,roc_auc,train_auc,test_auc,overfitting_gap
RandomForest,Random Forest,0.6044071353620147,0.8809523809523809,0.5007518796992482,0.638542665388303,0.7627173913043478,0.7771780734549874,0.7627173913043478,0.014460682150639559
Logistic,Logistic Regression,0.6374606505771249,0.6812169312169312,0.533678756476684,0.5984892504357932,0.7386657464918334,0.7513692475564485,0.7386657464918334,0.012703501064615152
XGBoost_Ultra,XGBoost-Ultra,0.6505771248688352,0.6812169312169312,0.5478723404255319,0.6073113207547169,0.762967563837129,0.816289245266518,0.762967563837129,0.05332168142938898
XGBoost,XGBoost,0.6584470094438615,0.6362433862433863,0.5612602100350058,0.5964042157470552,0.7479572118702553,0.9703258735106821,0.7479572118702553,0.2223686616404268
